Occupation - unit group4,State2,Number of individuals,"Average taxable income3
$","Median taxable income3
$","Average salary or wage income3 
$","Median salary or wage income3 
$","Average total income3 
$","Median total income3 
$"
9351 Apprentice or trainee - food trades worker,SA,738,"31,365","31,624","4,516","4,001","32,399","32,739"
9351 Apprentice or trainee - food trades worker,TAS,542,"31,484","32,305","4,371","4,187","32,576","33,780"
9351 Apprentice or trainee - food trades worker,VIC,"2,793","29,534","28,829","3,911","3,248","30,822","30,423"
9351 Apprentice or trainee - food trades worker,WA,948,"31,567","31,792","4,769","4,008","32,878","33,400"
"9361 Apprentice or trainee - animal attendant, trainer or shearer",ACT,21,"33,872","23,736","3,786","2,623","35,004","24,136"
"9361 Apprentice or trainee - animal attendant, trainer or shearer",NSW,251,"26,910","22,531","3,584","2,187","28,154","24,629"
"9361 Apprentice or trainee - animal attendant, trainer or shearer",NT,11,"35,706","33,579","4,392","4,106","37,911","37,230"
"9361 Apprentice or trainee - animal attendant, trainer or shearer",QLD,207,"28,048","25,400","3,831","2,862","29,120","26,644"
"9361 Apprentice or trainee - animal attendant, trainer or shearer",SA,61,"29,280","27,228","3,924","3,379","30,504","30,525"
"9361 Apprentice or trainee - animal attendant, trainer or shearer",TAS,22,"28,460","24,856","4,328","4,171","30,002","25,506"
"9361 Apprentice or trainee - animal attendant, trainer or shearer",VIC,178,"30,818","27,910","4,090","3,331","32,431","29,654"
"9361 Apprentice or trainee - animal attendant, trainer or shearer",WA,109,"31,433","29,467","4,081","3,490","32,963","31,466"
9362 Apprentice or trainee - horticultural trades worker,ACT,40,"31,960","33,771","4,497","4,056","33,235","35,030"
9362 Apprentice or trainee - horticultural trades worker,NSW,825,"29,477","28,222","4,044","3,276","31,365","30,513"
9362 Apprentice or trainee - horticultural trades worker,NT,12,"24,257","23,082","2,832","1,506","24,932","23,688"
9362 Apprentice or trainee - horticultural trades worker,QLD,260,"26,805","26,286","3,439","2,794","27,900","27,474"
9362 Apprentice or trainee - horticultural trades worker,SA,90,"24,845","24,282","2,614","1,600","25,695","25,193"
9362 Apprentice or trainee - horticultural trades worker,TAS,28,"22,322","21,531","2,622","1,414","23,624","22,405"
9362 Apprentice or trainee - horticultural trades worker,VIC,717,"29,217","27,525","3,916","3,225","31,624","30,858"
9362 Apprentice or trainee - horticultural trades worker,WA,130,"31,696","30,637","4,699","3,661","32,516","31,831"
9391 Apprentice or trainee - hair dresser,ACT,113,"27,584","27,054","3,108","2,502","28,607","28,002"
9391 Apprentice or trainee - hair dresser,NSW,"1,338","24,141","22,832","2,437","1,797","25,423","24,604"
9391 Apprentice or trainee - hair dresser,NT,38,"20,662","21,069","1,947","1,283","21,797","22,721"
9391 Apprentice or trainee - hair dresser,QLD,"1,082","23,608","22,535","2,290","1,680","24,715","23,946"
9391 Apprentice or trainee - hair dresser,SA,318,"26,096","25,655","2,720","2,327","27,227","27,040"
9391 Apprentice or trainee - hair dresser,TAS,144,"25,445","25,381","2,514","2,015","26,753","26,739"
9391 Apprentice or trainee - hair dresser,VIC,909,"24,862","24,062","2,561","1,884","26,265","26,012"
9391 Apprentice or trainee - hair dresser,WA,687,"24,751","23,425","2,636","2,024","26,610","26,132"
9392 Apprentice or trainee - printer or graphic artist,NSW,120,"37,472","36,743","6,983","5,351","38,916","37,746"
9392 Apprentice or trainee - printer or graphic artist,QLD,88,"31,296","29,283","4,965","3,399","32,160","30,240"
9392 Apprentice or trainee - printer or graphic artist,SA,36,"43,682","42,716","7,484","6,365","44,711","42,947"
9392 Apprentice or trainee - printer or graphic artist,TAS,9,"30,702","36,812","4,759","5,304","31,636","37,010"
9392 Apprentice or trainee - printer or graphic artist,VIC,95,"38,593","37,145","6,922","5,538","40,123","39,289"
9392 Apprentice or trainee - printer or graphic artist,WA,14,"44,206","36,520","4,381","1,610","45,007","38,733"
"9393 Apprentice OR trainee - textile, clothing OR footwear trades worker",NSW,37,"28,096","28,610","3,550","2,957","28,786","29,012"
"9393 Apprentice OR trainee - textile, clothing OR footwear trades worker",QLD,49,"29,077","27,172","4,160","2,726","30,383","28,568"
"9393 Apprentice OR trainee - textile, clothing OR footwear trades worker",SA,6,"32,143","36,194","4,796","4,967","32,800","36,949"
"9393 Apprentice OR trainee - textile, clothing OR footwear trades worker",TAS,5,"36,703","33,577","4,712","4,806","37,675","33,577"
"9393 Apprentice OR trainee - textile, clothing OR footwear trades worker",VIC,32,"29,290","25,590","4,251","3,204","30,314","29,048"
"9393 Apprentice OR trainee - textile, clothing OR footwear trades worker",WA,10,"31,657","27,312","5,032","3,944","33,038","30,251"
9394 Apprentice or trainee - wood trades worker,ACT,10,"53,738","40,169","8,119","7,156","55,291","43,335"
9394 Apprentice or trainee - wood trades worker,NSW,173,"33,539","31,775","5,315","3,948","36,046","34,605"
9394 Apprentice or trainee - wood trades worker,QLD,133,"29,509","28,828","4,122","3,111","31,275","30,012"
9394 Apprentice or trainee - wood trades worker,SA,47,"32,145","29,719","4,048","3,133","33,805","31,620"
9394 Apprentice or trainee - wood trades worker,TAS,15,"29,071","27,088","3,889","3,637","31,572","28,907"
9394 Apprentice or trainee - wood trades worker,VIC,163,"32,036","29,388","4,666","3,419","34,405","32,324"
9394 Apprentice or trainee - wood trades worker,WA,66,"34,691","33,090","5,170","4,109","36,664","35,096"
9399 Apprentice or trainee - miscellaneous technicians or trades worker,ACT,5,"33,598","37,925","4,786","4,730","35,130","39,368"
9399 Apprentice or trainee - miscellaneous technicians or trades worker,NSW,226,"30,301","27,967","4,582","2,935","32,308","30,400"
9399 Apprentice or trainee - miscellaneous technicians or trades worker,NT,13,"36,754","35,527","6,387","6,383","38,231","35,827"
9399 Apprentice or trainee - miscellaneous technicians or trades worker,QLD,199,"30,274","26,466","4,654","3,001","31,967","28,813"
9399 Apprentice or trainee - miscellaneous technicians or trades worker,SA,35,"41,606","36,541","6,772","4,369","43,054","38,297"
9399 Apprentice or trainee - miscellaneous technicians or trades worker,TAS,25,"27,634","25,074","4,996","2,674","29,265","26,975"
9399 Apprentice or trainee - miscellaneous technicians or trades worker,VIC,169,"33,210","29,718","5,814","3,727","35,826","33,522"
9399 Apprentice or trainee - miscellaneous technicians or trades worker,WA,107,"37,034","31,610","6,822","4,056","38,657","33,177"
9410 Apprentice or trainee - health and welfare support services,ACT,7,"28,797","33,090","3,121","2,646","30,115","33,665"
9410 Apprentice or trainee - health and welfare support services,NSW,155,"33,959","31,358","6,658","4,203","35,452","32,882"
9410 Apprentice or trainee - health and welfare support services,NT,16,"42,134","41,773","9,998","8,827","43,579","42,221"
9410 Apprentice or trainee - health and welfare support services,QLD,85,"35,236","29,496","6,120","3,816","37,090","31,298"
9410 Apprentice or trainee - health and welfare support services,SA,21,"41,498","34,115","4,990","4,346","42,503","34,840"
9410 Apprentice or trainee - health and welfare support services,TAS,9,"25,772","15,141","5,107","1,729","27,034","15,321"
9410 Apprentice or trainee - health and welfare support services,VIC,131,"36,020","32,402","6,058","4,096","37,282","33,883"
9410 Apprentice or trainee - health and welfare support services,WA,72,"33,089","29,483","5,945","3,609","38,680","32,763"
9420 Apprentice or trainee - care and community services,ACT,12,"33,026","32,544","5,978","3,874","33,762","32,724"
9420 Apprentice or trainee - care and community services,NSW,194,"30,095","25,946","4,861","2,731","31,447","27,514"
9420 Apprentice or trainee - care and community services,NT,11,"34,902","28,256","5,697","4,605","35,532","28,497"
9420 Apprentice or trainee - care and community services,QLD,78,"24,271","21,352","3,027","1,462","25,232","22,062"
9420 Apprentice or trainee - care and community services,SA,22,"26,296","26,623","3,734","2,723","27,337","27,350"
9420 Apprentice or trainee - care and community services,VIC,70,"29,788","24,865","4,368","2,290","31,286","26,588"
9420 Apprentice or trainee - care and community services,WA,44,"29,192","25,987","5,129","2,852","30,105","26,725"
9431 Apprentice or trainee - hospitality,ACT,22,"13,439","5,208","2,041",231,"13,557","5,290"
9431 Apprentice or trainee - hospitality,NSW,319,"21,135","18,305","2,602","1,495","21,788","18,667"
9431 Apprentice or trainee - hospitality,NT,16,"20,444","20,784","2,624","2,136","21,247","20,784"
9431 Apprentice or trainee - hospitality,QLD,213,"15,583","11,581","1,678",804,"15,896","11,581"
9431 Apprentice or trainee - hospitality,SA,41,"24,184","22,950","3,100","1,814","24,798","24,032"
9431 Apprentice or trainee - hospitality,TAS,24,"27,828","28,486","3,734","2,969","28,700","29,127"
9431 Apprentice or trainee - hospitality,VIC,189,"19,665","16,889","2,030",822,"20,056","16,889"
9431 Apprentice or trainee - hospitality,WA,63,"17,284","13,755","2,572",820,"17,748","13,755"
"9442 Consultant, apprentice or trainee - security and correctional services",ACT,48,"130,019","117,992","37,926","35,226","134,699","122,366"
"9442 Consultant, apprentice or trainee - security and correctional services",NSW,231,"88,883","73,694","24,039","18,296","92,840","76,973"
"9442 Consultant, apprentice or trainee - security and correctional services",NT,8,"74,689","56,051","17,629","11,458","76,627","57,395"
"9442 Consultant, apprentice or trainee - security and correctional services",QLD,101,"76,475","74,541","21,595","18,937","80,849","77,678"
"9442 Consultant, apprentice or trainee - security and correctional services",SA,42,"68,343","61,766","16,804","12,957","71,169","63,219"
"9442 Consultant, apprentice or trainee - security and correctional services",VIC,172,"82,193","65,565","23,276","16,173","86,497","69,552"
"9442 Consultant, apprentice or trainee - security and correctional services",WA,56,"66,837","64,783","17,002","15,897","70,185","67,719"
"9451 Consultant, apprentice or trainee - personal service or travel",ACT,34,"48,990","47,066","9,159","7,398","51,422","49,339"
"9451 Consultant, apprentice or trainee - personal service or travel",NSW,"1,141","42,390","37,421","8,026","5,467","44,559","39,887"
"9451 Consultant, apprentice or trainee - personal service or travel",NT,26,"36,418","34,543","6,799","5,595","38,488","34,543"
"9451 Consultant, apprentice or trainee - personal service or travel",QLD,639,"38,940","38,442","7,078","5,834","41,302","40,720"
"9451 Consultant, apprentice or trainee - personal service or travel",SA,115,"39,394","35,574","7,431","5,324","41,603","37,844"
"9451 Consultant, apprentice or trainee - personal service or travel",TAS,53,"42,825","39,833","8,604","6,412","45,496","41,040"
"9451 Consultant, apprentice or trainee - personal service or travel",VIC,561,"43,276","39,396","8,371","6,208","45,412","42,015"
"9451 Consultant, apprentice or trainee - personal service or travel",WA,265,"38,199","34,140","7,479","5,082","40,192","36,050"
9452 Apprentice or trainee - sport and recreation,ACT,7,"22,954","20,143","2,365",968,"25,512","23,593"
9452 Apprentice or trainee - sport and recreation,NSW,141,"33,310","23,047","3,857","1,908","35,383","25,672"
9452 Apprentice or trainee - sport and recreation,NT,11,"27,596","18,244","6,065","1,334","33,432","20,174"
9452 Apprentice or trainee - sport and recreation,QLD,108,"25,401","20,790","2,879","1,212","26,980","21,385"
9452 Apprentice or trainee - sport and recreation,SA,38,"29,761","18,756","3,105",747,"31,017","20,926"
9452 Apprentice or trainee - sport and recreation,TAS,9,"20,250","20,372","1,066",572,"21,704","20,372"
9452 Apprentice or trainee - sport and recreation,VIC,254,"25,733","17,458","2,050",880,"26,699","17,792"
